date,sunshine_hours,shortwave_radiation_sum_Wh_m2,PV_Ertrag_kWh,Mining_KWh_left
"2025-09-17",1,3.33,266.40,266.40
"2025-09-18",11,13.81,1104.80,1104.80
"2025-09-19",11,15.48,1238.40,1238.40
"2025-09-20",11,15.4,1232.00,1232.00
"2025-09-21",0,3.51,280.80,280.80
"2025-09-22",6,5.94,475.20,475.20
"2025-09-23",0,13.09,1047.20,1047.20
"2025-09-24",10,11.96,956.80,956.80
"2025-09-25",11,14,1120.00,1120.00
"2025-09-26",11,12.82,1025.60,1025.60
"2025-09-27",8,13.53,1082.40,1082.40
"2025-09-28",11,11.54,923.20,923.20
"2025-09-29",11,7.43,594.40,594.40
"2025-09-30",11,6.21,496.80,496.80
